N	CPU	SCAN	FULL
244000	0.001265	0.000248	0.001133
245000	0.001270	0.000491	0.001493
246000	0.001352	0.000278	0.001492
247000	0.001325	0.000263	0.001592
248000	0.001392	0.000224	0.001235
249000	0.001332	0.000226	0.001265
250000	0.001328	0.000264	0.001506
251000	0.001311	0.000269	0.001382
252000	0.001439	0.000228	0.001319
253000	0.001432	0.000264	0.001547
254000	0.001583	0.000228	0.001395
255000	0.001479	0.000215	0.001221
256000	0.001385	0.000237	0.001198
257000	0.001316	0.000286	0.001295
258000	0.001557	0.000279	0.001285
259000	0.001422	0.001152	0.002228
260000	0.001386	0.000477	0.001608
261000	0.001292	0.000259	0.001192
262000	0.001483	0.000259	0.001263
263000	0.001439	0.000221	0.001390
264000	0.001408	0.000223	0.001255
265000	0.001401	0.000267	0.001529
266000	0.001578	0.000247	0.000837
267000	0.001365	0.000248	0.001542
268000	0.001377	0.000225	0.001291
269000	0.001312	0.000224	0.001200
270000	0.001580	0.000273	0.001495
271000	0.001569	0.000225	0.001343
272000	0.001030	0.000280	0.001405
273000	0.001685	0.000226	0.001258
274000	0.001339	0.000222	0.001315
275000	0.001384	0.000245	0.001244
276000	0.001394	0.000242	0.001243
277000	0.001444	0.000228	0.001296
278000	0.001438	0.000226	0.001266
279000	0.001382	0.000252	0.001285
280000	0.001065	0.000235	0.001328
281000	0.001515	0.000235	0.001262
282000	0.001388	0.000234	0.001317
283000	0.001521	0.000232	0.001357
284000	0.001386	0.000235	0.001299
285000	0.001396	0.000272	0.001436
286000	0.001562	0.000239	0.001367
287000	0.001432	0.000241	0.001294
288000	0.001485	0.000257	0.001131
289000	0.001432	0.000240	0.001322
290000	0.001155	0.000242	0.001382
291000	0.001563	0.000234	0.001327
292000	0.001581	0.000242	0.001382
293000	0.001581	0.000268	0.001002
294000	0.001437	0.000241	0.001327
295000	0.001196	0.000242	0.001355
296000	0.001635	0.000237	0.001502
297000	0.001144	0.000245	0.001332
298000	0.001486	0.000262	0.001383
299000	0.001713	0.000251	0.001326
300000	0.001560	0.000254	0.001400
301000	0.001648	0.000245	0.001413
302000	0.001721	0.000298	0.001785
303000	0.001560	0.000246	0.001370
304000	0.001620	0.000273	0.001430
305000	0.001690	0.000287	0.001534
306000	0.001711	0.000286	0.001580
307000	0.001330	0.000249	0.001442
308000	0.001545	0.000247	0.001514
309000	0.001513	0.000252	0.001365
310000	0.001246	0.000251	0.001407
311000	0.001525	0.000243	0.001047
312000	0.001227	0.000253	0.001519
313000	0.001614	0.000268	0.001401
314000	0.001532	0.000252	0.001407
315000	0.001535	0.000253	0.001094
316000	0.001233	0.000262	0.001409
317000	0.001574	0.000252	0.001031
318000	0.001591	0.000243	0.001533
319000	0.001690	0.000254	0.001560
320000	0.001672	0.000269	0.001460
321000	0.001577	0.000251	0.001068
322000	0.001407	0.000254	0.001522
323000	0.001296	0.000258	0.001426
324000	0.001388	0.000257	0.001580
325000	0.001880	0.000259	0.001486
326000	0.001470	0.000262	0.001724
327000	0.001869	0.000257	0.001450
328000	0.001429	0.000312	0.001945
329000	0.001611	0.000260	0.001496
